id,project_id,keyword
1,624,Abortion
2,637,Academic Achievement
3,637,Personality development
4,645,Achievement motivation
5,645,Adolescents
6,645,Females
7,652,Achievement
8,652,African American
9,652,Women
10,652,Professional
11,654,Abortion
12,654,Parental stress
13,665,Abortion
14,665,Therapeutic abortion
15,665,Psychological outcomes of abortion
16,697,Abortion
17,697,Political Activists
18,702,Achievement
19,702,Childhood
20,702,Adolescent behavior
21,704,Divorce
22,706,"Early Head Start, Education, Low Income, Poor Families, African-American, Fathers, Latino"
23,746,Academic Achievement
24,746,Bulimia
25,748,Academic Achievement
26,748,Achievement
27,748,preschool educational intervention
28,748,Preschool educational intervention
29,751,Academic Achievement
30,751,Children
31,751,Alternative Family
32,767,adolescents
33,767,violence
34,767,substance abuse
35,767,child development
36,767,children
37,767,community organizations
38,767,community
39,767,deliquent behaviors
40,767,neighborhoods
41,767,neighborhood conditions
42,767,social control
43,767,social indicators
44,773,Achievement
45,773,Social Motives of Achievement
46,781,Bulimia
47,781,Eating disorders
48,784,Academic Achievement
49,784,Hyperkinetic
50,784,Children
51,787,Development of Achievement Motivation
52,797,mid-life
53,797,qualitative
54,802,Academic achievement
55,802,College students
56,803,Achievement motivation
57,803,Health
58,804,Achenbach Child Behavior Checklist
59,804,Teacher form
60,805,prenatal; infants; antisocial behavior; child development; children; deliquent behaviors; family conditions; social control; social indicators
61,810,"Homelessness, Families, Low-income, Children, Female-Headed Households"
62,818,Adoption
63,824,presidentialism
64,824,QCA (qualitative comparative analysis)
65,824,fuzzy sets
66,824,presidential crises
67,830,Longitudinal
68,830,Ego-control
69,830,Ego-resiliency
70,830,Multi-measure
71,830,Multiperiod
72,837,Achievement anxiety test
73,840,Aggregate Data
74,840,Demography
75,840,Life Tables
76,840,Morbidity
77,840,Mortality
78,840,Stationarity
79,845,Academic Achievement
80,845,Bulimia
81,850,Academic Achievement
82,850,Adolescents
83,860,Harvard
84,866,Achievement motivation
85,866,College students
86,869,"nutrition, health, anthropometrics, inequality, colonial, Kenya, Economic history, Africa, Economics"
87,881,Abortion
88,885,Academy of Management
89,895,Achievement motivation
90,895,Entrepreneurs
91,902,Achievement anxiety
92,902,College students
93,904,"Conflict, African Countries, political violence, African politics, Political economy, Political development"
94,905,"Electoral competition, executive selection process, Electoral Institutions, political indices , democracy,"
95,906,"Religion, Relationships, Students, Parents, College, High School, African American, Latina/Latino, Education, Family"
96,907,GDP
97,907,Growth
98,907,Investment
99,907,Productivity
100,907,Information Technology
101,912,Radcliffe
102,915,Productivity
103,915,R&D
104,915,Spillover
105,926,Ability Indices
106,926,College students
107,926,Achievement motivation
108,929,Achievement
109,929,Achievement motivation
110,929,African American
111,929,Adolescent
112,932,Latin America
113,932,Presidents
114,933,Achievement
115,933,Children's readers
116,937,GDP
117,937,Growth
118,937,Investment
119,937,Productivity
120,937,Information Technology
121,940,Elections
122,945,Boston
123,945,Retirement
124,946,"Political Violence, Africa"
125,949,Adolescents
126,949,sexual and reproductive health
127,949,rights
128,949,transactional sex
129,949,contraceptive choices
130,949,South Africa
131,950,gender
132,950,women
133,950,women's participation
134,950,employment
135,950,entrepreneurship
136,950,economic growth
137,950,MALAWI
138,950,SOUTHERN AFRICA
139,950,AFRICA SOUTH OF SAHARA
140,950,AFRICA
141,951,Vulnerability
142,951,Agency
143,951,Treatment-seeking
144,951,Childhood acute illness
145,954,sleep
146,954,infant nutrition
147,954,infant feeding
148,954,parenting
149,954,Hispanic
150,957,Qualitative inference
151,957,Potential outcomes
152,958,"LARC, family planning, discontinuation, interview guide"
153,959,"nutrition, diet"
154,960,Causal inference
155,960,Electoral rules
156,960,Randomization inference
157,960,Africa
158,960,Mixed methods
159,962,"Research Transparency, Research Ethics, Qualitative Methods"
160,963,"Ecuador, deaf, deafblind, hard of hearing, ecuadorian sign language, LSEC, access to healthcare, education access"
161,966,"wisdom, wise negotiation, qualitative study"
162,969,"Meta-analysis, qualitative research, literature review"
163,970,Digital Games
164,970,Mental Health
165,971,"QCA, fsQCA, csQCA, mvQCA, qualitative comparative analysis, permutation test, social revolution"
166,972,"Women, Deafness, Attitude, Knowledge, Contraception."
167,974,Education
168,976,"QCA, fuzzy sets, R"
169,977,"pastoralism, nutrition, diets"
170,979,conservation biology
171,979,conservation practice
172,979,conservation social science
173,979,gender
174,979,gender equality
175,979,gender identity
176,979,intersectional
177,979,qualitative systematic review
178,979,masculinity
179,979,performative
180,981,QCA
181,981,power
182,984,analysis
183,984,aquaculture
184,984,gender
185,984,bangladesh
186,984,value chain analysis
187,985,causal inference
188,985,case selection
189,985,comparative political science
190,986,FoQus
191,986,Qualitative
192,986,HIV
193,986,Youth
194,986,Risk Behaviors
195,986,Condom Use
196,986,BCC
197,989,"Faculty Development, Evaluation, Indicator"
198,990,inter-rater reliability
199,991,qualitative data
200,991,data availability statements
201,991,data sharing
202,993,Qualitative
203,993,In-depth interview and Spoken narrative
204,993,Condom use
205,993,MSM
206,993,HIV/AIDS
207,993,BCC
208,993,", DFID, Johnson & Johnson"
209,996,diversification
210,996,income generation
211,996,Viet Nam
212,996,South East Asia
213,996,East Asia
214,998,"Crowdfunding, Big data"
215,999,Historical thinking
216,999,Geographical thinking
217,999,Education
218,999,Social Science
219,999,Spain
220,999,Sweden
221,999,Curriculum
222,1000,diversity management
223,1000,hybrid work model
