id,query_string,repository_id,repository_url,project_url,version,title,description,language,doi,upload_date,download_date,download_repository_folder,download_project_folder,download_version_folder,download_method
1,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-statssa-dts-2021-v1,,Domestic Tourism Survey 2021,,en,,2023-07-17T17:54:36+,2026-04-04T20:13:42.822638,datafirst,zaf-statssa-dts-2021-v1,,API-CALL
2,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-statssa-dts-2020-v1,,Domestic Tourism Survey 2020,,en,,2023-04-11T15:05:25+,2026-04-04T20:13:46.202882,datafirst,zaf-statssa-dts-2020-v1,,API-CALL
3,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-statssa-dts-2013-v1,,Domestic Tourism Survey 2013,,en,,2015-09-30T08:01:03+,2026-04-04T20:13:49.688386,datafirst,zaf-statssa-dts-2013-v1,,API-CALL
4,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-statssa-dts-2016-v1.1,,Domestic Tourism Survey 2016,,en,,2018-02-14T14:03:18+,2026-04-04T20:13:53.007403,datafirst,zaf-statssa-dts-2016-v1.1,,API-CALL
5,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-statssa-dts-2014-v1,,Domestic Tourism Survey 2014,,en,,2016-01-19T13:59:26+,2026-04-04T20:13:56.541599,datafirst,zaf-statssa-dts-2014-v1,,API-CALL
6,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-statssa-dts-2017-v1,,Domestic Tourism Survey 2017,,en,,2020-05-02T18:02:16+,2026-04-04T20:13:59.894799,datafirst,zaf-statssa-dts-2017-v1,,API-CALL
7,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-statssa-dts-2015-v1.1,,Domestic Tourism Survey 2015,,en,,2018-02-14T09:45:20+,2026-04-04T20:14:03.295500,datafirst,zaf-statssa-dts-2015-v1.1,,API-CALL
8,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-statssa-dts-2022-v1,,Domestic Tourism Survey 2022,,en,,2024-11-26T19:39:24+,2026-04-04T20:14:06.678614,datafirst,zaf-statssa-dts-2022-v1,,API-CALL
9,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-statssa-dts-2019-v1,,Domestic Tourism Survey 2019,,en,,2022-01-23T19:10:17+,2026-04-04T20:14:10.378237,datafirst,zaf-statssa-dts-2019-v1,,API-CALL
10,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-statssa-dts-2018-v1,,Domestic Tourism Survey 2018,,en,,2022-01-22T12:55:48+,2026-04-04T20:14:13.758820,datafirst,zaf-statssa-dts-2018-v1,,API-CALL
